Kingdom	Phylum	Class	Order	Family	Genus	Species
NA	NA	NA	NA	NA	NA	NA
Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	NA	Nannochloropsis_granulata
NA	NA	NA	NA	NA	NA	NA
Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	NA	Tetradesmus_obliquus
Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	NA	Nannochloropsis_granulata
Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	NA	Tetradesmus_obliquus
NA	NA	NA	NA	NA	NA	NA
Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	NA	Parachlorella_kessleri
Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Mychonastaceae	NA	Mychonastes_homosphaera
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	NA	Tetradesmus_obliquus
Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	NA	Nannochloropsis_granulata
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	NA	Tetradesmus_obliquus
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	NA	Tetradesmus_obliquus
NA	NA	NA	NA	NA	NA	NA
Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	NA	Nannochloropsis_gaditana
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	NA	Nannochloropsis_granulata
