input	filtered	denoisedF	denoisedR	merged	tabled	nonchim
8569	5050	4865	5046	4864	4864	4864
19510	13977	12671	13637	9329	9329	6966
19531	14407	13263	14055	10623	10623	5942
20316	14501	12165	13616	7163	7163	4870
14058	10110	9191	9782	7140	7140	5393
15507	11209	9777	10687	7316	7316	5304
24569	18431	18350	18372	17913	17913	17179
14614	10879	9741	10522	7534	7534	4518
17209	11577	9596	11058	6320	6320	4984
18342	13977	13068	13656	10904	10904	8622
16854	12778	11013	12306	8163	8163	5567
10171	7719	7681	7685	7593	7593	7462
17333	12505	12294	12387	8109	8109	1945
20504	14019	13605	13975	11090	11090	5305
